MCR01 - Casework / Joinery,Counter/Benchtop,Casework,CWJ-TMB-CBNT: 300W*900H,"{'ShelfMaterial': 'Any text||||', 'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallLength': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'Finish': 'Any text||||Please fill in the finish material', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR01 - Casework / Joinery,Fixed Screen/Divider  (including toilet partition & shower screen),Casework,CWJ-TMB-CTBT: 300W*900H,"{'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallLength': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR01 - Casework / Joinery,Fixed Screen/Divider  (including toilet partition & shower screen),Walls,CWJ-TMB-FSD: 300W*900H,"{'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR01 - Casework / Joinery,General Joinery Item,Casework,CWJ-FSD: ShowerScreen_25THK,"{'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR01 - Casework / Joinery,Letterbox,Casework,CWJ-TMB-GJI: 300W*900H,"{'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Model': 'Any text||||', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'VolatileOrganicCompounds': 'Any text||||', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR01 - Casework / Joinery,Mirror (including Built-in Mirror),Casework,CWJ-LTBX: 300W*900H,"{'Description': 'Any text||||user can use this parameter as desired', 'Level': 'Any text||||', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'CrossSectionalProfile': 'Any text||||', 'Height': 'Any number||mm||', 'Width': 'Any number||mm||', 'Material': 'Any text||||This is Revit built-in parameter (For Walls, Material will be scheduled as Material: Name)', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention"", 'Uniclass': 'Any text||||'}"
MCR01 - Casework / Joinery,Splashback,Casework,CWJ-MIRR: 300W*900H,"{'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR02 - Ceiling,General Ceiling Item,Ceiling,CWJ-SPBK: 300W*900H,"{'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'OverallHeight': 'Any number||mm||', 'OverallWidth': 'Any number||mm||', 'MaterialSource': 'Any text||||to fill in the source country of material, e.g. Singapore, Malaysia, etc.', 'Manufacturer': 'Any text||||Previously known as COBie.Type.Manufacturer', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention""}"
MCR02 - Ceiling,Metal Ceiling,Ceiling,CEIL-GCI-50THK,"{'FireRating': ""Any number||hr||Please fill in hours. e.g. ''2''"", 'IfcExportAs': 'Any text||||to fill in IFC4.3 Entities; previously known as ExternalObject.Component', 'LoadBearing': 'Boolean (True/False)||||', 'ThermalTransmittance': 'Any number||||Please fill in U-value. Unit is watts per square meter per degree Celsius (W/m2K).', 'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'Height Offset From Level': 'Any number||mm||', 'LoadCapacity': 'Any number||||', 'AcousticRating': 'Any text||||e.g. STC 45', 'Material': 'Any text||||This is Revit built-in parameter (For Walls, Material will be scheduled as Material: Name)', 'UValue': 'Any number||||', 'EmbodiedEnergy': 'Any number||||Please fill in Embodied carbon (unit is CO2/kg). This information is used for carbon accounting.', 'GlobalWarmingPotential': 'Any number||||GWP', 'MaterialGrade': 'Any text||||For structural objects, please fill in the concrete grade here.', 'ModelReference': 'Any text||||Previously known as COBie.Type.ModelReference', 'ModifiedDate': 'Any date||||Format to fill in is YYYY-MM-DD. Modified date refers to the date when the data was last modified or changed.', 'VolatileOrganicCompounds': 'Any text||||', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention"", 'Uniclass': 'Any text||||'}"
MCR02 - Ceiling,Metal Framed Ceiling (Concealed Grid),Ceiling,CEIL-MTC-50THK,"{'FireRating': ""Any number||hr||Please fill in hours. e.g. ''2''"", 'IfcExportAs': 'Any text||||to fill in IFC4.3 Entities; previously known as ExternalObject.Component', 'LoadBearing': 'Boolean (True/False)||||', 'ThermalTransmittance': 'Any number||||Please fill in U-value. Unit is watts per square meter per degree Celsius (W/m2K).', 'Description': 'Any text||||user can use this parameter as desired', 'Type Comments': 'Text contains||||to fill in MCR category number. e.g. MCR25-01-01-01. This is useful for filtering schedules.', 'Height Offset From Level': 'Any number||mm||', 'LoadCapacity': 'Any number||||', 'AcousticRating': 'Any text||||e.g. STC 45', 'Material': 'Any text||||This is Revit built-in parameter (For Walls, Material will be scheduled as Material: Name)', 'UValue': 'Any number||||', 'EmbodiedEnergy': 'Any number||||Please fill in Embodied carbon (unit is CO2/kg). This information is used for carbon accounting.', 'GlobalWarmingPotential': 'Any number||||GWP', 'MaterialGrade': 'Any text||||For structural objects, please fill in the concrete grade here.', 'ModelReference': 'Any text||||Previously known as COBie.Type.ModelReference', 'ModifiedDate': 'Any date||||Format to fill in is YYYY-MM-DD. Modified date refers to the date when the data was last modified or changed.', 'VolatileOrganicCompounds': 'Any text||||', 'Family': ""Any text||||as per JTC's naming convention"", 'Type': ""Any text||||as per JTC's naming convention"", 'Uniclass': 'Any text||||'}"
